A1G0E6T0AYW4QG	4	TPR	7.0	207	ekki enpli	she enters	ALL	she accepted	incorrect
A1G0E6T0AYW4QG	4	TPR	7.0	207	ekki enpli	she enters	ALL	she enters	revealed
A1G0E6T0AYW4QG	4	MCR	8.0	147	ekki meli	she watches	she watches,he will enter,she will watch,she accepts,she watched	she watches	correct
A1G0E6T0AYW4QG	4	EX	9.0	30	pi melizpe	you watched	ALL	you watched	revealed
A1G0E6T0AYW4QG	4	EX	10.0	11	enplil	to enter	ALL	to enter	revealed
A1G0E6T0AYW4QG	4	EX	11.0	6	ák icedpilí	he will accept	ALL	he will accept	revealed
A1G0E6T0AYW4QG	4	MCR	12.0	148	yé melilá	I will watch	I will accept,she accepted,I will watch,he accepted,he accepts	I will watch	correct
A1G0E6T0AYW4QG	4	EX	13.0	14	ák enpli	he enters	ALL	he enters	revealed
A1G0E6T0AYW4QG	4	MC	14.0	36	pi icedpiz	you accept	you accept,I watched,she will enter,she will watch,she accepted	you accept	correct
A1G0E6T0AYW4QG	4	MCR	15.0	153	ekki melilí	she will watch	she watches,to watch,she will watch,I watched,to enter	I watched	incorrect
A1G0E6T0AYW4QG	4	MCR	15.1	153	ekki melilí	she will watch	she watches,to watch,she will watch,to enter	to watch	incorrect
A1G0E6T0AYW4QG	4	TP	16.0	189	yé melá	I watched	ALL	you watch	incorrect
A1G0E6T0AYW4QG	4	MCR	17.0	117	ekki icedpü	she accepted	you accepted,she accepted,she will accept,to accept,she enters	to accept	incorrect
A1G0E6T0AYW4QG	4	MCR	17.1	117	ekki icedpü	she accepted	you accepted,she accepted,she will accept,she enters	she will accept	incorrect
A1G0E6T0AYW4QG	4	MCR	17.2	117	ekki icedpü	she accepted	you accepted,she accepted,she enters	she accepted	correct
A1G0E6T0AYW4QG	4	EX	18.0	18	ák enplilí	he will enter	ALL	he will enter	revealed
A1G0E6T0AYW4QG	4	TP	19.0	175	ekki enpli	she enters	ALL	I will enter	incorrect
A1G0E6T0AYW4QG	4	MC	20.0	62	ekki enpli	she enters	she enters,she accepts,he enters,she will accept,to accept	she will accept	incorrect
A1G0E6T0AYW4QG	4	EX	21.0	19	ekki enplilí	she will enter	ALL	she will enter	revealed
A1G0E6T0AYW4QG	4	EX	22.0	20	yé enplá	I entered	ALL	I entered	revealed
A1G0E6T0AYW4QG	4	TPR	23.0	211	ekki enplilí	she will enter	ALL	she will enter	correct
A1G0E6T0AYW4QG	4	TPR	24.0	214	ák enplü	he entered	ALL	he entered	correct
A1G0E6T0AYW4QG	4	EX	25.0	15	ekki enpli	she enters	ALL	she enters	revealed
A1G0E6T0AYW4QG	4	EX	26.0	27	ák melilí	he will watch	ALL	he will watch	revealed
A1G0E6T0AYW4QG	4	TPR	27.0	207	ekki enpli	she enters	ALL	she enters	correct
A1G0E6T0AYW4QG	4	MCR	28.0	131	pi enplilíz	you will enter	I will accept,she entered,you will enter,you watched,he accepted	you will enter	correct
A1G0E6T0AYW4QG	4	MCR	29.0	113	pi icedpizpe	you accepted	you accepted,she watches,she will enter,you will enter,you entered	you accepted	correct
A1G0E6T0AYW4QG	4	EX	30.0	3	ák icedpi	he accepts	ALL	he accepts	revealed
A1G0E6T0AYW4QG	4	TP	31.0	185	ekki meli	she watches	ALL	she watches	correct
A1G0E6T0AYW4QG	4	EX	32.0	12	yé enplé	I enter	ALL	I enter	revealed
A1G0E6T0AYW4QG	4	MCR	33.0	112	pi icedpizpe	you accepted	you accepted,she enters,he entered,she entered,I watched	you accepted	correct
A1G0E6T0AYW4QG	4	EX	34.0	6	ák icedpilí	he will accept	ALL	he will accept	revealed
A1G0E6T0AYW4QG	4	MCR	35.0	123	pi enpliz	you enter	she watches,I will enter,you enter,to accept,she will accept	you enter	correct
A1G0E6T0AYW4QG	4	TP	36.0	XX	pi meliz	you watch	ALL	you watch	nofeedback
A1G0E6T0AYW4QG	4	TP	36.1	XX	pi icedpilíz	you will accept	ALL	you accept	nofeedback
A1G0E6T0AYW4QG	4	TP	36.2	XX	ák melü	he watched	ALL	he watched	nofeedback
A1G0E6T0AYW4QG	4	TP	36.3	XX	pi melilíz	you will watch	ALL	you will watch	nofeedback
A1G0E6T0AYW4QG	4	TP	36.4	XX	yé icedpá	I accepted	ALL	I accepted	nofeedback
A1G0E6T0AYW4QG	4	TP	36.5	XX	yé melé 	I watch	ALL	I watched	nofeedback
A1G0E6T0AYW4QG	4	TP	36.6	XX	ák meli	he watches	ALL	he watched	nofeedback
A3L2UB07EZJAMD	0	EX	1.0	17	pi enplilíz	you will enter	ALL	you will enter	revealed
A3L2UB07EZJAMD	0	MC	2.0	48	pi icedpizpe	you accepted	you accepted,she enters,she entered,I watched,he entered	she enters	incorrect
A3L2UB07EZJAMD	0	MC	3.0	88	ekki melilí	she will watch	she will watch,you will enter,he will watch,she accepted,she entered	she accepted	incorrect
A3L2UB07EZJAMD	0	TP	4.0	173	pi enpliz	you enter	ALL	you will enter	incorrect
A3L2UB07EZJAMD	0	EX	5.0	24	melil	to watch	ALL	to watch	revealed
A3L2UB07EZJAMD	0	TP	6.0	181	pi enplizpe	you entered	ALL	NO_ANSWER_MADE	incorrect
A3L2UB07EZJAMD	0	EX	7.0	7	ekki icedpilí	she will accept	ALL	she will accept	revealed
A3L2UB07EZJAMD	0	MCR	8.0	149	yé melilá	I will watch	you enter,I will watch,she will watch,I watched,I accept	I accept	incorrect
A3L2UB07EZJAMD	0	MCR	8.1	149	yé melilá	I will watch	you enter,I will watch,she will watch,I watched	I watched	incorrect
A3L2UB07EZJAMD	0	MCR	8.2	149	yé melilá	I will watch	you enter,I will watch,she will watch	I will watch	correct
A3L2UB07EZJAMD	0	MC	9.0	65	yé enplilá	I will enter	I will enter,he enters,I entered,you will enter,to accept	I will enter	correct
A3L2UB07EZJAMD	0	TPR	10.0	196	ekki icedpi	she accepts	ALL	she watched	incorrect
A3L2UB07EZJAMD	0	TPR	10.0	196	ekki icedpi	she accepts	ALL	she accepts	revealed
